INFO:root:

 PROGRAM EXECUTION START 


INFO:root:Writer waited 0.00010395050048828125 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 9.870529174804688e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.00012803077697753906 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.07068896293640137 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.16802310943603516 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.014705896377563477 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.2396409511566162 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.4389991760253906 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.04506802558898926 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.9087066650390625e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.2141251564025879 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.06009721755981445 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.0994415283203125e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.05798172950744629 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7179718017578125e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 9.274482727050781e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0001232624053955078 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1589970588684082 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.24389195442199707 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.0410308837890625 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.027648210525512695 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.15372991561889648 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.04250597953796387 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.028139591217041016 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.02732086181640625 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.18073201179504395 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08405613899230957 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7894973754882812e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08470892906188965 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.01389002799987793 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.014211893081665039 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.09930014610290527 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.09910702705383301 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.47955322265625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.15594124794006348 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7894973754882812e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0712740421295166 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08427906036376953 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.9087066650390625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09822392463684082 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.05575203895568848 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.5639097690582275 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.19539594650268555 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.12549471855163574 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.7179718017578125e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08474612236022949 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08527493476867676 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.8848648071289062e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09911894798278809 seconds for acquiring lock, locked memory block B
